id,number,balcony,floor,houseId,bedAmount
1,1,False,1,1,4
2,2,False,1,1,4
3,3,True,2,1,4
4,4,True,2,1,4
5,5,False,1,1,4
6,1,False,1,2,4
7,2,False,1,2,4
8,3,True,2,2,4
9,4,True,2,2,4
10,5,False,1,2,4
11,1,False,1,3,4
12,2,False,1,3,4
13,3,True,2,3,4
14,4,True,2,3,4
15,1,False,1,4,4
16,2,False,1,4,4
17,3,True,2,4,4
18,4,True,2,4,4
19,1,False,1,5,4
20,2,False,1,5,4
21,3,True,2,5,4
22,4,True,2,5,4
23,5,False,1,5,4
24,6,False,1,5,4
25,1,False,1,6,4
26,2,False,1,6,4
27,3,True,2,6,4
28,4,True,2,6,4
29,1,False,1,7,4
30,2,False,1,7,4
31,3,True,2,7,4
32,4,True,2,7,4
33,5,False,1,7,4
34,6,False,1,7,4
35,1,False,1,8,4
36,2,False,1,8,4
37,3,True,2,8,4
38,4,True,2,8,4
39,5,False,1,8,4
40,1,False,1,9,4
41,2,False,1,9,4
42,3,True,2,9,4
43,4,True,2,9,4
44,1,False,1,10,4
45,2,False,1,10,4
46,3,True,2,10,4
47,4,True,2,10,4
48,5,False,1,10,4
